cuisines,latitude,longitude,item
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C73 Shredded Chicken with Pineapple
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C74 Kung Pao Style Stir Fried Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C75 Stir Fried Diced Chicken with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C76 Stir Fried Diced Chicken with Cashew Nuts
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C77 Stewed Chicken with Curry Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C78 Stir Fried Chicken with Broccoli
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C79 Stir Fried Chicken with Vegetable
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C80 Orange Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C81 General Tso39s Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C82 Sesame Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C83 Chicken with Garlic Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C84 Sweet and Sour Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C85 Egg Foo Young with Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C86 Chop Suey with Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S23 Steamed Fish
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S25 Homestyle Whole Fish with Sweet and Sour Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S26 Steamed Fish with Chili Pepper
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S27 Boiled Fish with Bean Sprouts in Hot Chili Oil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S28 Braised Tendons with Sea Cucumber
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S29 Dry Stewed Whole Fish
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S30 Braised Whole Fish with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S31 Stewed Whole Fish with Sweet and Sour Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S32 Homestyle Stewed Yellow Croaker
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S33 Dry Fried Yellow Croaker
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S34 Braised Hairtail in Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S35 Sweet and Sour TileShaped Fish
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S36 Stewed Mackarel with Pancake
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S37 Stewed Plat Fish with Tofu
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S38 Fried Fish Fillet with Pickled MustardGreen
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S39 Stir Fried Fish Fillet with Pepper Salt
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S40 Stir Fried Fish Filler with Black Bean Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S41 Stewed Fish Fillet with Spicy Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S42 Fried Fish Filler with Special Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S43 Fried Fish Fillet with Sweet and Sour Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S44 Fried Fish Fillet with Chili Bean Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S45 Shrimp with Tomato Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S46 Shrimp with Pepper and Salt
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S47 Fried Shrimp with Shell in Chili
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S48 Stewed Shrimp with Cashew Nuts with Basil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S49 Fried Shrimp with Cashew Nuts
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S50 Kong Pao Style Shrimp
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S51 Fried Shrimp with Walnuts
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S52 Fried Squid with Pepper Salt
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S53 Stir Fried Squid with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S54 Stir Fried Cumin Flavored Squid
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S55 Stir Fried Squid with Chives
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S56 Stir Fried Shrimp with Vegetables
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S57 Sweet and Sour Shrimp
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S58 Stewed Combination Seafood
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S59 Egg Foo Young Shrimp
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V01 Stir Fried Bamboo Shoot with Dry Bean Curd
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V02 Deep Fried Sauteed String Bean
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V03 Stir Fried Sliced Potato with Pepper
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V04 Stir Fried Sliced Potato with Eniki Mushroom
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V05 Stir Fried Sliced Potato with Vinegar Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V06 Stir Fried Hot and Sour Potato
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V07 Stewed Eggplant with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V08 Stewed Eggplant with Brown Sauce Basil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V09 YuXiang Style Eggplant
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V10 Stir Fried Eggplant with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V11 Stir Fried Eggplant Potato and Pepper
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V12 Stir Fried Cabbage with Vinegar Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V13 Homestyle Stewed Tofu
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V14 Tasty Stewed Tofu
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V15 YuXiang Style Tofu
