category,unigram,count
ramen,moriawase,1
ramen,noodle),1
ramen,oden,1
ramen,oshinko,1
british,pie,5
british,chips,3
british,sauce,3
british,chicken,2
british,coffee,2
british,curry,2
british,drip,2
british,egg,2
british,gravy,2
british,juice,2
british,mash,2
british,rarebit,2
british,salad,2
british,steak,2
british,'n',1
british,ale,1
british,balti,1
british,bangers,1
british,bread,1
british,bubble,1
british,burger,1
british,cake,1
british,cheese,1
british,chutney,1
british,cold,1
british,coriander,1
british,cut,1
british,deluxe,1
british,farms,1
british,fizz,1
british,ginger,1
british,grapefruit,1
british,hand,1
british,kale,1
british,kombuchade,1
british,large,1
british,mac,1
british,mushroom,1
british,o',1
british,orange,1
british,pasty,1
british,peas,1
british,pickled,1
british,pickles,1
british,plate,1
british,pleasant,1
british,ploughman's,1
british,pork,1
british,pot,1
british,premium,1
pubs,chicken,7
pubs,salad,7
pubs,burger,6
pubs,sandwich,6
pubs,pie,5
pubs,chips,4
pubs,pizza,4
pubs,steak,4
pubs,sauce,3
pubs,build,2
pubs,cake,2
pubs,cheese,2
pubs,coffee,2
pubs,crab,2
pubs,curry,2
pubs,drip,2
pubs,egg,2
pubs,fish,2
pubs,fried,2
pubs,fries,2
pubs,gravy,2
pubs,juice,2
pubs,kale,2
pubs,mash,2
pubs,orange,2
pubs,own,2
pubs,pickles,2
pubs,pork,2
pubs,potatoes,2
pubs,rarebit,2
pubs,risotto,2
pubs,soup,2
pubs,your,2
pubs,'n',1
pubs,ala,1
pubs,ale,1
pubs,anchors,1
pubs,avocado,1
pubs,away,1
pubs,bacon,1
pubs,balti,1
pubs,bangers,1
pubs,beef,1
pubs,bites,1
pubs,blackened,1
pubs,blanket,1
pubs,boneless,1
pubs,bread,1
pubs,breakfast,1
pubs,bubble,1
breakfast_brunch,(dinner),54
breakfast_brunch,(gluten,27
breakfast_brunch,free),27
breakfast_brunch,chicken,26
breakfast_brunch,sandwich,26
breakfast_brunch,burger,25
breakfast_brunch,salad,24
breakfast_brunch,grilled,18
breakfast_brunch,pancakes,13
breakfast_brunch,bacon,12
breakfast_brunch,cheese,11
breakfast_brunch,omelette,11
breakfast_brunch,street,11
breakfast_brunch,burrito,10
breakfast_brunch,waffle,10
breakfast_brunch,wrap,10
breakfast_brunch,beef,9
breakfast_brunch,egg,9
breakfast_brunch,chocolate,8
breakfast_brunch,eggs,8
breakfast_brunch,french,8
breakfast_brunch,fries,8
breakfast_brunch,steak,8
breakfast_brunch,toast,8
breakfast_brunch,hashbrowns,7
breakfast_brunch,kabob,7
breakfast_brunch,kid's,7
breakfast_brunch,pork,7
breakfast_brunch,turkey,7
breakfast_brunch,breakfast,6
breakfast_brunch,coffee,6
breakfast_brunch,juice,6
breakfast_brunch,kids,6
breakfast_brunch,platter,6
breakfast_brunch,sausage,6
breakfast_brunch,soup,6
breakfast_brunch,avocado,5
breakfast_brunch,benedict,5
breakfast_brunch,breast,5
breakfast_brunch,cut,5
breakfast_brunch,fried,5
breakfast_brunch,hot,5
breakfast_brunch,or,5
breakfast_brunch,pie,5
breakfast_brunch,potatoes,5
breakfast_brunch,sauce,5
breakfast_brunch,tuna,5
breakfast_brunch,butter,4
breakfast_brunch,buttermilk,4
breakfast_brunch,caesar,4
vietnamese,smoothie,33
vietnamese,milkshake,20
vietnamese,pork,17
vietnamese,chicken,16
vietnamese,banh,15
vietnamese,beef,15
vietnamese,grilled,12
vietnamese,shrimp,12
vietnamese,mi,11
vietnamese,pad,11
vietnamese,juice,10
vietnamese,bowl,9
vietnamese,curry,9
vietnamese,egg,9
vietnamese,lemongrass,9
vietnamese,mango,9
vietnamese,roll,8
vietnamese,ca,7
vietnamese,coffee,7
vietnamese,ga,7
vietnamese,phe,7
vietnamese,seafood,7
vietnamese,soup,7
vietnamese,thai,7
vietnamese,chocolate,6
vietnamese,fried,6
vietnamese,milk,6
vietnamese,pho,6
vietnamese,rice,6
vietnamese,tea,6
vietnamese,banana,5
vietnamese,basil,5
vietnamese,breaded,5
vietnamese,chiên,5
vietnamese,chop,5
vietnamese,drink,5
vietnamese,iced,5
vietnamese,noodle,5
vietnamese,nướng,5
vietnamese,pineapple,5
vietnamese,salad,5
vietnamese,apple,4
vietnamese,bbq,4
vietnamese,chua,4
vietnamese,crab,4
vietnamese,cải,4
vietnamese,da,4
vietnamese,garlic,4
vietnamese,green,4
vietnamese,kiwi,4
delis,sandwich,38
delis,chicken,21
delis,salad,20
delis,hot,14
delis,fries,12
delis,sub,11
delis,italian,10
delis,beef,7
delis,bread,7
delis,sausage,7
delis,cheese,6
delis,cold,6
delis,panino,6
delis,shrimp,6
delis,breaded,5
delis,burger,5
delis,di,5
delis,grilled,5
delis,homemade,5
delis,steak,5
delis,broccoli,4
delis,cheeseburger,4
delis,chili,4
delis,linguini,4
delis,meatball,4
delis,peppers,4
delis,cajun,3
delis,mozzarella,3
delis,on,3
delis,parmigiana,3
delis,tenders,3
delis,tuna,3
delis,turkey,3
delis,vesuvio,3
delis,antipasto,2
delis,baked,2
delis,billy,2
delis,boy,2
delis,buffalo,2
delis,calamari,2
delis,cappuccino,2
delis,caprese,2
delis,char,2
delis,ciabatta,2
delis,clams,2
delis,diavolo,2
delis,double,2
delis,eggplant,2
delis,fried,2
delis,garden,2
grocery,salad,6
grocery,sandwich,4
grocery,bread,2
grocery,chicken,2
grocery,platters,2
grocery,roll,2
grocery,tuna,2
grocery,wheat,2
grocery,boxed,1
grocery,caesar,1
grocery,cheese,1
grocery,dog,1
grocery,garden,1
grocery,greek,1
grocery,hot,1
grocery,lunches,1
grocery,meat,1
grocery,pumpernickel,1
grocery,rye,1
grocery,specialty,1
grocery,veggie,1
